"title";"critic_score";"total_sales"
Dragon Ball Z: Taiketsu;3.8;1.08
Spore Creatures;7.2;1.07
Tomb Raider: Underworld;7.5;1.07
Call of Duty 3;8.2;1.07
World Tour Soccer;7.0;1.07
Naruto: Ultimate Ninja Storm;7.8;1.07
Virtua Fighter;9.0;1.07
Marvel vs. Capcom 3: Fate of Two Worlds;8.4;1.07
The Biggest Loser;7.7;1.07
Tiger Woods PGA Tour 10;9.0;1.07
The Orange Box;8.7;1.07
LEGO Star Wars II: The Original Trilogy;4.9;1.07
Prince of Persia;8.3;1.07
Endless Ocean;6.8;1.06
Mercenaries 2: World in Flames;7.1;1.06
Warhawk;8.4;1.06
Sonic Generations;6.3;1.06
Mortal Kombat: Armageddon;7.4;1.06
Aliens vs Predator;6.0;1.06
Spider-Man 2;7.0;1.06
Sega Superstars Tennis;7.0;1.06
Seek and Destroy;5.6;1.06
Darksiders;7.8;1.06
DiRT 3;9.0;1.06
Forza Motorsport;9.2;1.05
Rocksmith 2014;9.1;1.05
DiRT;8.3;1.05
Dave Mirra Freestyle BMX;7.4;1.05
Sonic & SEGA All-Stars Racing;8.3;1.05
MySims Agents;7.5;1.05
Resident Evil: The Darkside Chronicles;7.2;1.05
SOCOM: U.S. Navy SEALs Fireteam Bravo 2;8.2;1.05
Call of Duty 4: Modern Warfare;7.3;1.05
Brink;6.8;1.04
Aliens vs Predator;6.1;1.04
Sleeping Dogs;8.1;1.04
Legacy of Kain: Soul Reaver;8.9;1.04
Need for Speed: Most Wanted;8.5;1.04
WipEout Pure;9.1;1.04
The Simpsons Game;6.9;1.04
Bomberman 64;6.1;1.04
MotorStorm: Arctic Edge;7.7;1.04
Naruto: Clash of Ninja 2;7.4;1.04
LEGO Pirates of the Caribbean: The Video Game;7.2;1.04
WWE SmackDown vs. Raw 2010;8.2;1.04
Just Dance 2014;7.6;1.03
Sonic Unleashed;5.3;1.03
The Elder Scrolls III: Morrowind Game of the Year Edition;8.3;1.03
Tomb Raider;8.7;1.03
Dragon Ball Z: Budokai Tenkaichi 3;7.5;1.03
LEGO Indiana Jones: The Original Adventures;7.7;1.03
Shrek 2;6.9;1.02
Bulletstorm;8.5;1.02
Tiger Woods PGA Tour 08;7.4;1.02
Madden NFL 07;8.4;1.02
Rock Band 2;9.0;1.02
Just Cause 3;7.0;1.01
Madden NFL 16;8.0;1.01
F1 2012;7.9;1.01
Prince of Persia;8.2;1.01
NBA 2K10;8.4;1.01
EyePet;6.9;1.01
Excitebike 64;8.9;1.0
Far Cry: Primal;7.8;1.0
Rayman Origins;8.5;1.0
Breath of Fire III;7.6;1.0
Tom Clancy's Splinter Cell: Blacklist;8.4;1.0
NERF N-Strike Elite;7.5;1.0
NCAA Football 12;7.8;1.0
