"title";"critic_score";"total_sales"
Resident Evil 5;8.6;3.53
Assassin's Creed: Brotherhood;9.1;3.53
LEGO Star Wars: The Video Game;7.9;3.53
FIFA Soccer 11;8.7;3.52
NBA 2K17;9.0;3.52
FIFA Soccer 2004;8.0;3.49
Borderlands;8.3;3.48
Battlefield: Bad Company 2;9.0;3.48
Mario & Sonic at the Olympic Winter Games;7.6;3.47
Guitar Hero: On Tour;7.1;3.46
Tekken 4;7.9;3.44
LEGO Batman: The Videogame;7.5;3.44
Halo: The Master Chief Collection;8.8;3.44
LittleBigPlanet 2;9.1;3.43
Grand Theft Auto 2;6.9;3.42
Destiny;8.3;3.41
Spider-Man 2;7.9;3.41
Crash Bash;6.8;3.39
The Elder Scrolls V: Skyrim Special Edition;8.3;3.36
Assassin's Creed IV: Black Flag;8.5;3.34
NBA 2K18;8.1;3.34
Max Payne;8.1;3.31
Madden NFL 16;8.2;3.3
The Lord of the Rings: The Return of the King;8.4;3.28
Madden NFL 17;8.5;3.28
FIFA 16;8.5;3.25
L.A. Noire;9.1;3.21
"007: Tomorrow Never Dies";6.2;3.21
WWF SmackDown! 2: Know Your Role;8.7;3.2
Assassin's Creed IV: Black Flag;8.3;3.19
Assassin's Creed Odyssey;9.5;3.18
Fallout: New Vegas;8.2;3.17
Club Penguin: Elite Penguin Force;7.0;3.14
FIFA 18;8.0;3.14
The Elder Scrolls IV: Oblivion;9.3;3.12
Tom Clancy's Ghost Recon Wildlands;7.0;3.12
NBA 2K13;8.6;3.11
Mass Effect 2;9.5;3.1
LEGO Batman: The Videogame;7.3;3.08
Saints Row 2;7.9;3.07
Call of Duty: Ghosts;7.5;3.07
LEGO Batman: The Videogame;7.8;3.06
Kung Fu Panda;7.5;3.05
Mass Effect 3;9.5;3.04
Rayman;7.0;3.03
Tom Clancy's Splinter Cell;9.3;3.02
WWE SmackDown! vs. Raw 2006;8.4;3.0
Battlefield: Bad Company 2;8.9;2.96
Street Fighter IV;9.3;2.95
Madden NFL 13;8.0;2.93
FIFA 15;6.9;2.91
Mass Effect;9.2;2.91
Mortal Kombat (2011);8.5;2.9
Cooking Mama: Cook Off;5.9;2.89
Sega Superstars Tennis;6.9;2.89
Imagine: Babyz;3.5;2.87
Colin McRae Rally;7.9;2.87
Mafia III;6.9;2.87
The Elder Scrolls III: Morrowind;8.2;2.86
Assassin's Creed: Brotherhood;9.1;2.85
Madden NFL 10;8.6;2.83
BioShock;9.6;2.83
Finding Nemo;7.0;2.82
Gran Turismo (PSP);7.8;2.82
Medal of Honor;6.7;2.82
Imagine: Fashion Designer;3.0;2.81
Need for Speed: Hot Pursuit;8.9;2.81
Killzone 3;8.2;2.81
Skylanders: Spyro's Adventure;8.0;2.79
A Bug's Life;3.6;2.79
Star Wars: The Force Unleashed;7.1;2.77
Saints Row: The Third;8.3;2.77
Battlefield 3;8.9;2.76
Need for Speed: Most Wanted (2012);8.5;2.74
Far Cry: Primal;7.2;2.73
L.A. Noire;9.1;2.73
Overwatch;8.7;2.72
Need for Speed (2015);7.0;2.72
Skate 3;8.3;2.71
Madden NFL 13;8.3;2.71
Madden NFL 12;7.8;2.7
Call of Duty 3;8.0;2.7
LEGO Star Wars II: The Original Trilogy;8.4;2.69
Madden NFL 11;8.3;2.69
Burnout 3: Takedown;9.3;2.68
Medal of Honor;9.3;2.67
Call of Duty 2: Big Red One;8.5;2.67
Final Fantasy XIII-2;8.3;2.66
Medal of Honor Heroes;6.7;2.66
Guitar Hero: World Tour;8.6;2.66
Need for Speed: Shift;8.2;2.65
Hannah Montana;6.5;2.65
Medal of Honor;7.3;2.64
NBA 2K12;9.1;2.64
NBA 2K13;8.9;2.63
FIFA Soccer 10;8.9;2.62
Madden NFL 18;8.2;2.62
LittleBigPlanet;8.8;2.61
Grand Theft Auto: Episodes from Liberty City;9.0;2.6
FIFA Soccer 09;8.6;2.59
WWE SmackDown vs. RAW 2007;8.0;2.58
Dragon Age: Origins;8.5;2.56
FIFA 16;9.0;2.55
Madden NFL 09;8.5;2.54
Crazy Taxi;8.2;2.52
Tomb Raider (2013);8.9;2.51
Midnight Club: Los Angeles;8.3;2.5
Marvel: Ultimate Alliance;8.3;2.5
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City;9.8;2.49
Mortal Kombat: Deadly Alliance;8.2;2.49
Game Party;2.6;2.49
Saints Row: The Third;8.3;2.48
Madden NFL 16;8.4;2.47
Rock Band;9.1;2.47
Pure;8.3;2.47
LEGO Harry Potter: Years 1-4;7.9;2.45
Madden NFL 17;8.1;2.44
Twisted Metal 2;8.7;2.44
Tom Clancy's Rainbow Six: Vegas 2;8.2;2.42
Sonic Adventure;8.9;2.42
Need for Speed Carbon: Own the City;7.4;2.42
Halo: Combat Evolved Anniversary;8.0;2.41
Kinect: Disneyland Adventures;8.5;2.41
Pro Evolution Soccer 2011;6.0;2.41
NBA 2K16;8.3;2.41
ATV Offroad Fury;8.4;2.41
Midnight Club: Los Angeles;8.0;2.4
Madden NFL 11;8.4;2.4
Theme Hospital;5.5;2.4
Frogger's Adventures: Temple of the Frog;6.7;2.39
Dead Island;7.0;2.38
The Incredibles;5.9;2.37
Madden NFL 10;8.5;2.37
Madden NFL 08;8.7;2.37
Sonic's Ultimate Genesis Collection;8.1;2.36
LEGO Indiana Jones: The Original Adventures;7.8;2.35
Dragon Age: Inquisition;8.6;2.34
Kinect Sports: Season Two;6.6;2.33
Madden NFL 25;7.8;2.33
Grand Theft Auto;6.0;2.32
My Fitness Coach;7.1;2.32
Assassin's Creed IV: Black Flag;8.3;2.32
The Sims 3;8.0;2.31
LEGO Star Wars: The Complete Saga;8.0;2.31
Dead Island;6.7;2.29
Tomb Raider II;8.2;2.29
LEGO Harry Potter: Years 1-4;8.0;2.29
Pro Evolution Soccer 2010;7.0;2.28
Need for Speed Underground 2;8.0;2.28
Madden NFL 12;7.8;2.27
No Man's Sky;6.8;2.26
Guitar Hero III: Legends of Rock;8.2;2.25
Call of Duty 3;6.8;2.24
Prince of Persia: The Sands of Time;9.0;2.22
Star Wars: The Force Unleashed;6.8;2.22
